Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Core / Architecture,Lab-based package architecture: Core + standalone labs + bundle + project adapters,Partially implemented,Critical,High,Core release architecture,"PungentUtilityRegistry, PungentUtilityLabs, namespaces, runtime/editor asmdefs","Major architecture pass landed: all scripts are namespaced and bundle-level Runtime/Editor asmdefs exist. Still missing per-lab asmdefs, optional bridges, package manifests, and adapter packages."
Core / Architecture,PungentUtilityDescriptor metadata contract,Fully implemented,Critical,Medium,Central to every utility,Editor/Utilities Core/PungentUtilityDescriptor.cs,Descriptor now includes lab/module/status/related utility IDs and cached window type resolution.
Core / Architecture,Central utility registry,Fully implemented,Critical,Medium,Central launcher/discovery,Editor/Utilities Core/PungentUtilityRegistry.cs,Registers 27 utility windows with lab/module/sort/status metadata and related utility IDs. Asset Placement still also has a per-lab registrar that overwrites the same id.
Core / Architecture,Control Panel / lab browser,Partially implemented,Critical,Medium,Primary suite navigation,PungentUtilityControlPanelWindow.cs,"Expanded to status filtering, status summary, lab descriptions, grouped lab/module/tool cards, related utilities, and type-cache integration. Still not a full dashboard with pinned/favourite tools or per-tool docs cards."
Core / Architecture,Direct lab menu routing,Fully implemented,High,Low,Navigation,PungentUtilityLabMenus.cs,Tools/Utilities/Labs routes exist for current defined labs.
Core / Architecture,Utility Tray / parked recent windows,Partially implemented,Medium,Medium,Workflow QoL,PungentUtilityTrayWindow.cs,Still functional; now benefits from descriptor OpenDirect/type-cache compatibility. Some repaint and workflow integration polish remains.
Core / Architecture,Shared UtilityWindowTheme visual system,Fully implemented,Critical,High,UX consistency,"UtilityWindowTheme.cs, UtilityWindowThemeCustomizer.cs",Most windows use it.
Core / Architecture,Window appearance/theme customizer,Fully implemented,High,High,UX consistency,UtilityWindowThemeCustomizer.cs,Preset/custom role colours and persistence are present.
Core / Architecture,Shared UtilityWindowPrefs persistence,Partially implemented,High,Low,UX consistency,UtilityWindowPrefs.cs + many windows,Used broadly; splitters/foldouts/pinned tools are not fully standardised across every window.
Core / Architecture,Shared editor performance/incremental queue helper,Partially implemented,High,Medium,Performance foundation,PungentEditorPerformanceUtility.cs,"Now includes throttled repaint helpers, type-resolution caching, repaint diagnostics, progress helper, cached filtering, and IncrementalQueue. Scanner-heavy tools still need migration to a shared scan model."
Core / Architecture,Package status badges: Stable/Experimental/In Progress/Deprecated/Project Adapter,Fully implemented,High,Low,Release polish,"PungentUtilityPackageStatus.cs, PungentUtilityDescriptor.cs, PungentUtilityRegistry.cs, PungentUtilityControlPanelWindow.cs",Shared status constants/descriptions/tints/sort keys exist; central registry entries populate status labels and Control Panel displays/filter them.
Core / Architecture,Lab descriptions/help text in launcher,Fully implemented,High,Low,Discoverability,"PungentUtilityLabs.GetDescription, PungentUtilityControlPanelWindow.cs",Standard lab descriptions exist and are surfaced by launcher/tooltips.
Core / Architecture,Documentation buttons/cards on each utility tile,Partially implemented,High,Medium,Discoverability/support,"PungentUtilityDesignAuditWindow.cs, bundled Documentation folder","Design Audit has Open Design Bible/Open Inventory buttons and docs are bundled, but per-utility documentation cards/buttons are still not implemented."
Core / Architecture,Category colour coding in control panel,Partially implemented,Medium,Medium,UX navigation,UtilityWindowTheme roles/pills,Theme colours exist; category-specific visual identity is not complete.
Core / Architecture,Namespace hardening,Fully implemented,Critical,High,Export safety,97/97 C# files contain namespace declarations,Previous global namespace blocker is resolved for the current archive. Compile validation in Unity is still recommended after namespace migration.
Core / Architecture,Assembly definitions per runtime/editor/lab/bridge,Partially implemented,Critical,High,Export/package safety,"PungentFunk.Utilities.Runtime.asmdef, Editor/PungentFunk.Utilities.Editor.asmdef",Bundle-level Runtime and Editor asmdefs exist and Editor references Runtime. Per-lab and optional bridge asmdefs are still future work.
Core / Architecture,Standard Tools/Utilities menu policy,Partially implemented,High,Medium,Professional polish,77 MenuItem declarations; primary menus mostly under Tools/Utilities plus context menus under Assets/GameObject/PungentFunk Utilities,"Primary tool menus are mostly standardised, but legacy aliases remain under Tools/Debug, Tools/Font Preview, Tools/RenameTool, Tools/Terrain, and Tools/Pungent Colour Suite."
Core / Architecture,Standard CreateAssetMenu root: PungentFunk Utilities/<Lab>/<Asset Type>,Fully implemented,High,Low,Professional polish,12 CreateAssetMenu declarations all now use PungentFunk Utilities/...,"Former PungentFunk/Audio and Pungent Funk/Generation drift has been corrected. Some sublab naming can still be refined, but the root is consistent."
Core / Architecture,Optional cross-lab bridge/degraded UI cards,Scaffolded,High,High,Standalone lab safety,"PungentUtilityDescriptor.RelatedUtilityIds, PungentUtilityRegistry.RelatedUtilities","Related utility metadata now exists, but optional bridge packages/degraded missing-integration cards are not implemented."
Core / Architecture,Shared scan/cache/performance infrastructure,Partially implemented,Critical,High,All scanner windows,"PungentEditorPerformanceUtility.cs, PungentUtilityDesignAudit.cs",Performance utilities and design audit exist. Scanner-heavy windows still own local scan logic and shared result models have not been adopted package-wide.
Core / Architecture,Large-window panel/service/state split,Yet to implement,Critical,High,Maintainability,"Largest files still monolithic: DebugControlWindow, PaletteDesignerWindow, AudioCoverageWindow, ModularPathSpawner, TerrainUsageScannerWindow",No split into panels/services/state files has occurred yet.
Core / Architecture,Dry-run/preview/apply pattern for destructive workflows,Partially implemented,Critical,Medium,Safety,"Placement preview/apply, reference scanner, tuning copy, rename preview","Good in many tools, but not uniformly documented/standardised."
Core / Architecture,Undo/SetDirty safety for scene/asset modification,Partially implemented,Critical,Medium,Safety,"PlacementApplyUtility, palette changes, editor scanners",Present in many areas; needs package-wide audit.
Core / Architecture,Tooltips and contextual enum descriptions for all fields,Partially implemented,High,Medium,Usability,Many GUIContent tooltips exist,Not universal; enum-specific help is inconsistent.
Core / Architecture,"Responsive small-window layouts, vertical scrolling, draggable shared borders",Partially implemented,High,Medium,UX quality,Theme resize handles; many scroll views,Several windows still have large min sizes or monolithic layouts.
Debug Lab,Debug Control Center window,Partially implemented,High,High,Debug utility product,Editor/Debug Control Window/DebugControlWindow.cs,"Still feature-rich and registered as Stable, but remains a 2873-line monolith. Split pass still recommended."
Debug Lab,Debug Router,Fully implemented,High,High,Debug signal backbone,Debug/DebugRouter.cs,Moved out of Editor folder and namespaced as runtime/shared debug infrastructure.
Debug Lab,Debug channel/signal constants,Fully implemented,Medium,Low,Debug standardization,Debug/DebugChannels.cs,Moved out of Editor folder and namespaced under PungentFunk.Utilities.Debugging.
Debug Lab,Debug signal relay to UnityEvents,Fully implemented,Medium,Low,Scene integration,Debug/DebugSignalRelay.cs,Moved out of Editor folder and namespaced as runtime/shared debug infrastructure.
Debug Lab,Reflected debug fields/static toggles/component state inspection,Partially implemented,High,High,Debug authoring,DebugControlWindow.cs,Implemented inside monolith; not split into DebugFieldController service.
Debug Lab,Debug action scheduler,Partially implemented,Medium,High,Debug automation,DebugControlWindow.cs,Scheduled reflected actions appear inside monolith; separate DebugActionScheduler file absent.
Debug Lab,Router panel reimplementation without serializedObject/targets OnSceneGUI issues,Partially implemented,High,Medium,Stability,DebugControlWindow.cs,"Router tooling is present, but still needs the dedicated clean split requested in the reimplementation brief."
