Area / Lab,Desired utility / feature,Status,Usefulness,Difficulty,Fit / relevance,Current evidence,Notes
Core / Architecture,Lab-based package architecture: Core + standalone labs + bundle + project adapters,Partially implemented,Critical,High,Core release architecture,"PungentUtilityRegistry, PungentUtilityLabs, namespaces, Runtime/Editor asmdefs, bundled Documentation folder","Bundle-level architecture is now much stronger: 97/97 files are namespaced and Runtime/Editor asmdefs exist. Still missing per-lab asmdefs, optional bridge packages, package manifests, and actual project adapter packages."
Core / Architecture,PungentUtilityDescriptor metadata contract,Fully implemented,Critical,Medium,Central to every utility,Editor/Utilities Core/PungentUtilityDescriptor.cs,Descriptor now includes lab/module/status/related utility IDs and cached window type resolution.
Core / Architecture,Central utility registry,Fully implemented,Critical,Medium,Central launcher/discovery,Editor/Utilities Core/PungentUtilityRegistry.cs,Central registry currently registers 27 utility windows with lab/module/status metadata and related utility IDs. Asset Placement still also has a per-lab registrar that may duplicate/override the same id.
Core / Architecture,Control Panel / lab browser,Partially implemented,Critical,Medium,Primary suite navigation,Editor/Utilities Core/PungentUtilityControlPanelWindow.cs,"Control Panel is now significantly expanded with status summary, status filtering, lab descriptions, grouped lab/module/tool cards, recent utility support, and related utility links. Still not a full dashboard with pinned/favourite tools, configurable docs cards, toolbar integration, or package health panels."
Core / Architecture,Direct lab menu routing,Fully implemented,High,Low,Navigation,PungentUtilityLabMenus.cs,Tools/Utilities/Labs routes exist for current defined labs.
Core / Architecture,Editor toolbar quick-launch/status integration,Yet to implement,Medium,Medium,Access surface / workflow speed,No Unity Toolbar/EditorToolbar integration found,"Design bible calls for toolbar quick launches, recent tools, active lab shortcuts, preview/debug toggles, and status indicators for frequent workflows."
Core / Architecture,Scene View overlay integration for scene tools,Scaffolded,High,High,Scene workflow access surface,"PungentSceneHelpOverlay.cs, SupportsSceneOverlay metadata, scene tool windows; no Unity Overlay class found","Scene-related utilities have overlay-style support and metadata, but proper Unity Scene View Overlay integration is not implemented."
Core / Architecture,Inspector-embedded toolbars and Open in Lab actions,Partially implemented,High,Medium,Contextual access / authoring speed,"Several custom editors exist: PungentSceneGizmoSourceEditor, AudioMaterialTagEditor, TerrainAudioProfileEditor, AudioInteractionMatrixEditor, PungentColourPaletteSOEditor",Some inspectors expose validation/help/quick actions. There is no package-wide inspector embedding standard with Open in Lab buttons and dependency messages.
Core / Architecture,Keyboard shortcuts / command palette quick actions,Yet to implement,Medium,Medium,Power-user workflow,No Shortcut attributes or ShortcutManager usage found,"Design bible lists command-style actions such as open control panel/current lab, scan current selection, regenerate selected output, and toggle debug tools."
Core / Architecture,Selection-aware and context-aware tool launch startup,Partially implemented,High,Medium,Workflow speed / user context,Context menus and selection-support metadata; several windows import current selection,Some tools seed from current selection or context menus. Not all utility windows detect and adapt to current selection/folder/asset type on open.
Core / Architecture,"Pinned tools, favourite labs, and resume-last-session workflows",Partially implemented,Medium,Medium,Launcher UX / workflow continuity,Control Panel recent utility support; Utility Tray parking; UtilityWindowPrefs,"Recent tools and tray parking exist. Pinned/favourite labs, last active module per lab, recently used assets, and resume-last-session workflows remain future work."
Core / Architecture,Utility Tray / parked recent windows,Partially implemented,Medium,Medium,Workflow QoL,Editor/PungentUtilityTrayWindow.cs,"Compact tray/parking workflow exists, but it does not yet implement the newer requested Minimizer Tray behaviour where free-floating panels minimize into bottom-left tab headers that restore on selection."
Core / Architecture,Minimizer Tray: minimize floating utility panels into bottom-left tab headers,Yet to implement,High,High,Utility workflow / editor chrome,PungentUtilityTrayWindow.cs exists but no minimized tab-strip/window-minimize interception code found,"Requested behaviour: enable minimize on free-floating panels, move minimized panels to bottom-left above editor toolbar as tab headers only, restore panel when selected, and support multiple minimized headers that feel like tabs of one editor panel."
Core / Architecture,Shared UtilityWindowTheme visual system,Fully implemented,Critical,High,UX consistency,"UtilityWindowTheme.cs, UtilityWindowThemeCustomizer.cs",Most windows use it.
Core / Architecture,Window appearance/theme customizer,Fully implemented,High,High,UX consistency,"UtilityWindowThemeCustomizer.cs, UtilityWindowTheme.cs, UtilityWindowPrefs.cs","Theme customizer includes built-in presets, generated/randomized themes, custom local preset save/update/delete, role colours, locks, and persistence. Developer-mode preset overwrites/archive workflow is separate future work."
Core / Architecture,Developer Mode toggle for extra design/package permissions,Yet to implement,High,Medium,Safe shipping / internal tooling boundary,"No developer-mode preference, status gate, or permission service found",Requested as a toggle that exposes extra internal design controls without shipping those permissions to normal users by default.
Core / Architecture,Theme Recipe developer overwrite selected starter theme,Yet to implement,High,Medium,Theme authoring / developer tooling,UtilityWindowThemeCustomizer.cs has preset/custom-preset workflows but no warning-style developer overwrite section,Requested first Developer Mode feature: warning-style section at bottom of Theme Recipe panel to overwrite selected starter theme with current values.
Core / Architecture,Theme preset add/remove/archive management with developer-only archived presets,Partially implemented,High,Medium,Theme authoring / release curation,UtilityWindowThemeCustomizer.cs custom preset save/update/delete; built-in preset list; no archive/developer visibility model,"Custom local presets can be saved, applied, and deleted. Built-in preset add/remove/archive and developer-only archived visibility remain unimplemented."
Core / Architecture,USS bridge text-style controls and Style Explorer font preset mapping,Yet to implement,High,High,Appearance Lab / editor skinning,No USS bridge or Style Explorer script found in current package,Requested controls for mapping Heading/Subheading/Body/Muted/Link/Field/Path/Code font presets to text elements and keeping inspector/hierarchy font sizes consistent when USS bridge/session GUI styles are enabled.
Core / Architecture,Theme presets include curated commercially redistributable fonts,Yet to implement,Medium,Medium,Appearance presets / release polish,No font assets or theme-font binding model found in package; FontPreviewWindow exists,Requested future preset pass should include relevant fonts with commercially safe redistribution licences. Needs a font-license-aware asset pipeline or curated package assets.
Core / Architecture,Shared UtilityWindowPrefs persistence,Partially implemented,High,Low,UX consistency,UtilityWindowPrefs.cs + many window pref keys,"Shared bool/int/float/string prefs exist and are widely used. More session/state concepts such as pinned tools, favourite labs, doc link profiles, and resume-last-workspace are still incomplete."
Core / Architecture,Shared editor performance/incremental queue helper,Partially implemented,High,Medium,Performance foundation,PungentEditorPerformanceUtility.cs,"Now includes throttled repaint helpers, type-resolution caching, repaint diagnostics, progress helper, cached filtering, and IncrementalQueue. Scanner-heavy tools still need migration to a shared scan model."
Core / Architecture,Package status badges: Stable/Experimental/In Progress/Deprecated/Project Adapter,Fully implemented,High,Low,Release polish,"PungentUtilityPackageStatus.cs, PungentUtilityDescriptor.cs, PungentUtilityRegistry.cs, PungentUtilityControlPanelWindow.cs","Shared status constants/descriptions/tints/sort keys exist. Current central registry status counts: {'Stable': 12, 'InProgress': 2, 'Experimental': 13}."
Core / Architecture,Lab descriptions/help text in launcher,Fully implemented,High,Low,Discoverability,"PungentUtilityLabs.GetDescription, PungentUtilityControlPanelWindow.cs",Standard lab descriptions exist and are surfaced by launcher/tooltips.
Core / Architecture,Documentation buttons/cards on each utility tile,Partially implemented,High,Medium,Discoverability/support,"PungentUtilityDesignAuditWindow.cs, bundled Documentation folder","Design Audit has fixed Open Design Bible/Open Inventory buttons and docs are bundled, but per-utility docs buttons/cards and user-configurable documentation links are not implemented."
Core / Architecture,Category colour coding in control panel,Partially implemented,Medium,Medium,UX navigation,UtilityWindowTheme roles/pills; PungentUtilityControlPanelWindow cards/status tints,Status/lab visual treatment is improved; category-specific colour taxonomy is still not complete.
Core / Architecture,Namespace hardening,Fully implemented,Critical,High,Export safety,97/97 C# files contain namespace declarations,Previous global namespace blocker is resolved for the current archive. Unity compile validation is still recommended after the namespace migration.
Core / Architecture,Assembly definitions per runtime/editor/lab/bridge,Partially implemented,Critical,High,Export/package safety,"PungentFunk.Utilities.Runtime.asmdef, Editor/PungentFunk.Utilities.Editor.asmdef","Bundle-level Runtime and Editor asmdefs exist and Editor references Runtime. Per-lab asmdefs and optional bridge asmdefs are still future work. The Editor asmdef does not reference TextMeshPro despite FontPreviewWindow using TMPro, so TMP must be declared, optionalized, or bridged."
Core / Architecture,Per-lab package manifests and standalone release metadata,Yet to implement,Critical,High,Asset Store / modular distribution,No package.json/manifests or per-lab asmdefs found,Required for independently releasable lab packages and optional bridge packages. Current package is bundle-oriented.
Core / Architecture,TextMeshPro optional dependency isolation or asmdef declaration,Partially implemented,High,Medium,Compile safety / optional dependencies,FontPreviewWindow.cs uses TMPro; PaletteApplyUtility uses reflection/string optional handling; Editor asmdef has no TMP reference,PaletteApplyUtility mostly handles TMP optionally. FontPreviewWindow is compile-time TMP-dependent and should be moved to a TMP bridge or the Editor asmdef should declare Unity.TextMeshPro where appropriate.
Core / Architecture,Standard Tools/Utilities menu policy,Partially implemented,High,Medium,Professional polish,79 MenuItem declarations; primary menus mostly under Tools/Utilities plus Assets/GameObject context menus,"Primary tool menus are mostly standardised. Legacy aliases remain under Tools/Debug, Tools/Font Preview, Tools/RenameTool, Tools/Terrain, and Tools/Pungent Colour Suite. Several validation overloads share the same menu path, which is normal in Unity but should be reviewed for clarity."
Core / Architecture,Standard CreateAssetMenu root: PungentFunk Utilities/<Lab>/<Asset Type>,Fully implemented,High,Low,Professional polish,12 CreateAssetMenu declarations all use PungentFunk Utilities/... roots,"Former PungentFunk/Audio and Pungent Funk/Generation drift has been corrected. Some sublab labels can still be refined, but the root is consistent."
Core / Architecture,Optional cross-lab bridge/degraded UI cards,Scaffolded,High,High,Standalone lab safety,"PungentUtilityDescriptor.RelatedUtilityIds, PungentUtilityRegistry.RelatedUtilities, Control Panel related utility buttons","Related utility metadata now exists and is surfaced in the launcher. Dedicated bridge packages, missing-integration disabled cards, and soft dependency service lookup are not implemented."
Core / Architecture,Shared scan/cache/performance infrastructure,Partially implemented,Critical,High,All scanner windows,"PungentEditorPerformanceUtility.cs, PungentUtilityDesignAudit.cs, some window-local caches",Performance helpers and design audit checks exist. Scanner-heavy windows still mostly own local scan logic and shared scan result models have not been adopted package-wide.
Core / Architecture,Large-window panel/service/state split,Yet to implement,Critical,High,Maintainability,"Largest scripts still monolithic: DebugControlWindow, PaletteDesignerWindow, AudioCoverageWindow, ModularPathSpawner, TerrainUsageScannerWindow, UtilityWindowTheme, ReferenceAssignmentScannerWindow",No substantial split into panels/services/state files has occurred yet.
