archive_path,file_name,internal_family,grouped_family,style,full_name,postscript_name,license_status,license_name_or_basis,evidence,source_or_local_file,commercial_use_recommendation,notes,embedded_license_desc,embedded_license_url,embedded_copyright
ANTSYPAN.TTF,ANTSYPAN.TTF,AntsyPants,AntsyPants,Regular,AntsyPants,AntsyPants,Commercial-free use,1001Fonts Free For Commercial Use License (FFC),bundled 1001Fonts EULA / readme,local 1001fonts-*-eula.txt,OK for commercial use,Allows personal and commercial use; do not sell/publish the font files as a standalone font product.,,,(c) 1999 Nick Curtis. All Rights Reserved. Generated by Fontographer 3.52
Acme-Regular.ttf,Acme-Regular.ttf,Acme,Acme,Regular,Acme,Acme-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2011 by Juan Pablo del Peral (huertatipografica.com.ar), , with Reserved Font Name ""Acme"""
Anton.ttf,Anton.ttf,Anton,Anton,Regular,Anton,Anton,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,,http://scripts.sil.org/OFL,Copyright (c) 2011 by vernon adams. All rights reserved.
Bangers.ttf,Bangers.ttf,Bangers,Bangers,Regular,Bangers,Bangers-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,,,Copyright (c) 2011 by Vernon Adams. All rights reserved.
Blenda Script.otf,Blenda Script.otf,Blenda Script,Blenda Script,Regular,Blenda Script,BlendaScript,Commercial-free use,Free for personal and commercial use,DaFont,https://www.dafont.com/blenda-script.font,OK for commercial use,DaFont page explicitly lists free personal and commercial use.,,,Copyright (c) 2014 by Seniors Studio. All rights reserved.
Boogaloo-Regular.ttf,Boogaloo-Regular.ttf,Boogaloo,Boogaloo,Regular,Boogaloo,Boogaloo-Regular,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,"This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL",http://scripts.sil.org/OFL,"Copyright (c) 2011, John Vargas Beltran (www.johnvargasbeltran.com|john.vargasbeltran@gmail.com), with Reserved Font Name ""Boogaloo""."
BrassLBr.ttf,BrassLBr.ttf,Brasspounder,Brasspounder,Regular,Brasspounder,Brasspounder,Commercial-free use,Design Science License,embedded copyright notice,local metadata,OK for commercial use,"Free/open-style license, but old/copyleft; preserve notices and verify redistribution obligations.",,,Brasspounder © Starving-4 Entertainment. 2002. This font is licensed under the terms of the Design Science Licence: http://dsl.org/copyleft/dsl.txt
BrasspSC.ttf,BrasspSC.ttf,Brasspounder SC,Brasspounder SC,Regular,Brasspounder SC,BrasspounderSC,Commercial-free use,Design Science License,embedded copyright notice,local metadata,OK for commercial use,"Free/open-style license, but old/copyleft; preserve notices and verify redistribution obligations.",,,Brasspounder SC © Starving-4 Entertainment. 2002. This font is licensed under the terms of the Design Science Licence: http://dsl.org/copyleft/dsl.txt
Bristol.otf,Bristol.otf,Bristol,Bristol,Regular,Bristol,Bristol,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,,,Copyright (c) 2016 by Jovanny Lemonad. All rights reserved.
CatShop.ttf,CatShop.ttf,CatShop,CatShop,Regular,CatShop,CatShop,Commercial-free use,SIL Open Font License 1.1,embedded metadata / bundled OFL / Google Fonts / 1001Fonts,local metadata or bundled OFL; https://openfontlicense.org/; https://fonts.google.com/faq,OK for commercial use,OFL permits commercial use and redistribution/bundling subject to OFL terms; do not sell the font by itself.,GPL- General Public License AND OFL-Open Font License,http://www.fsf.org/licenses/gpl.html AND http://scripts.sil.org/OFL,"Copyright (c) 2009 by Peter Wiegel.   Open Font under Terms of following Free Software Licenses:
GPL (General Public License) with font-exception and OFL (Open Font License"
